view	stratum	task_id	seeds	block_count	value_attacks	value_supports	gap_as
deepseek_seed0	correct	15	0	1	0	0	0
deepseek_seed0	correct	18	0	1	-0.044999999999999964	0.011250000000000013	-0.056249999999999981
deepseek_seed0	correct	27	0	1	0	0	0
deepseek_seed0	correct	29	0	1	0	0	0
deepseek_seed0	correct	30	0	1	0	0	0
deepseek_seed0	correct	31	0	1	0	0	0
deepseek_seed0	correct	34	0	1	0	0	0
deepseek_seed0	correct	35	0	1	0.21406249999999999	-0.35999999999999999	0.57406250000000003
deepseek_seed0	correct	43	0	1	-0.03125	0	-0.03125
deepseek_seed0	correct	47	0	1	0.033749999999999974	-0.34625000000000006	0.38
deepseek_seed0	correct	52	0	1	0	0	0
deepseek_seed0	correct	59	0	1	0	0	0
deepseek_seed0	correct	64	0	1	0	0.013750000000000005	-0.013750000000000005
deepseek_seed0	correct	65	0	1	0	0	0
deepseek_seed0	wrong	14	0	1	0.5	-0.625	1.125
deepseek_seed0	wrong	16	0	1	0.77625	0.15999999999999992	0.61625000000000008
deepseek_seed0	wrong	17	0	1	-0.20833333333333348	0.50624999999999987	-0.71458333333333335
deepseek_seed0	wrong	19	0	1	0.053750000000000013	0.053750000000000013	0
deepseek_seed0	wrong	20	0	1	0.33500000000000002	-1.0650000000000002	1.4000000000000001
deepseek_seed0	wrong	21	0	1	1.98	2	-0.019999999999999997
deepseek_seed0	wrong	22	0	1	1.8487499999999999	0.4574999999999998	1.3912500000000003
deepseek_seed0	wrong	23	0	1	-0.87	-0.4524999999999999	-0.41750000000000009
deepseek_seed0	wrong	25	0	1	0.25555555555555548	0.15305555555555542	0.10250000000000006
deepseek_seed0	wrong	26	0	1	0.6462500000000001	0.69000000000000017	-0.043750000000000067
deepseek_seed0	wrong	36	0	1	1.4112500000000001	1.1299999999999999	0.28125
deepseek_seed0	wrong	37	0	1	0.48374999999999985	-0.29000000000000009	0.77374999999999994
deepseek_seed0	wrong	38	0	1	0.21826388888888903	-0.094861111111110841	0.31312499999999988
deepseek_seed0	wrong	40	0	1	0.125	-0.65625	0.78125
deepseek_seed0	wrong	41	0	1	0.059999999999999984	-0.79999999999999993	0.85999999999999988
deepseek_seed0	wrong	42	0	1	-0.011250000000000012	0	-0.011250000000000012
deepseek_seed0	wrong	44	0	1	0.19500000000000006	-0.10125000000000001	0.29625000000000007
deepseek_seed0	wrong	46	0	1	0.31319444444444411	-0.16500000000000026	0.47819444444444437
deepseek_seed0	wrong	48	0	1	0	-0.59499999999999997	0.59499999999999997
deepseek_seed0	wrong	49	0	1	0.15375	0.093750000000000014	0.05999999999999997
deepseek_seed0	wrong	50	0	1	0.22222222222222224	0.22222222222222224	0
deepseek_seed0	wrong	51	0	1	2	0.14624999999999999	1.85375
deepseek_seed0	wrong	53	0	1	2	0.57750000000000012	1.4224999999999999
deepseek_seed0	wrong	55	0	1	0	0	0
deepseek_seed0	wrong	56	0	1	0.66000000000000014	0.53999999999999981	0.12000000000000033
deepseek_seed0	wrong	57	0	1	0.13124999999999987	-0.28499999999999992	0.41624999999999979
deepseek_seed0	wrong	58	0	1	0.30874999999999997	-0.95125000000000004	1.26
deepseek_seed0	wrong	60	0	1	0.064826388888888808	-1.1361111111111113	1.2009375
deepseek_seed0	wrong	61	0	1	0	-0.14879999999999982	0.14879999999999982
deepseek_seed0	wrong	62	0	1	0.017916666666666692	0.18666666666666654	-0.16874999999999984
deepseek_seed0	wrong	63	0	1	0	-0.47500000000000009	0.47500000000000009
deepseek_seed1	correct	15	1	1	0	-0.0037500000000000046	0.0037500000000000046
deepseek_seed1	correct	18	1	1	-0.0037500000000000046	-0.059999999999999984	0.056249999999999981
deepseek_seed1	correct	27	1	1	0	0	0
deepseek_seed1	correct	29	1	1	0	0	0
deepseek_seed1	correct	30	1	1	0.77333333333333343	0.88888888888888895	-0.11555555555555552
deepseek_seed1	correct	31	1	1	0	0	0
deepseek_seed1	correct	34	1	1	0	0	0
deepseek_seed1	correct	35	1	1	-0.20000000000000001	-0.41375000000000006	0.21375000000000005
deepseek_seed1	correct	41	1	1	0.0037500000000000046	0.0037500000000000046	0
deepseek_seed1	correct	42	1	1	0	0	0
deepseek_seed1	correct	43	1	1	0	0	0
deepseek_seed1	correct	47	1	1	-0.22500000000000014	-0.55125000000000002	0.32624999999999982
deepseek_seed1	correct	49	1	1	0.014999999999999996	-0.72000000000000008	0.7350000000000001
deepseek_seed1	correct	52	1	1	0	0	0
deepseek_seed1	correct	64	1	1	0	-0.010937500000000003	0.010937500000000003
deepseek_seed1	correct	65	1	1	0	0	0
deepseek_seed1	wrong	14	1	1	1.125	0	1.125
deepseek_seed1	wrong	16	1	1	0.29999999999999993	-1.0612499999999998	1.3612499999999996
deepseek_seed1	wrong	17	1	1	0.62	0.39031250000000001	0.22968749999999996
deepseek_seed1	wrong	19	1	1	0.15500000000000003	0.15500000000000003	0
deepseek_seed1	wrong	20	1	1	0.45875000000000005	-0.38624999999999987	0.84499999999999997
deepseek_seed1	wrong	21	1	1	0	0	0
deepseek_seed1	wrong	22	1	1	1.35375	-0.041250000000000009	1.395
deepseek_seed1	wrong	23	1	1	-0.011250000000000012	-0.0087499999999999939	-0.0025000000000000178
deepseek_seed1	wrong	25	1	1	0.16375000000000006	0.16000000000000006	0.0037500000000000046
deepseek_seed1	wrong	26	1	1	0.56000000000000016	-1.095	1.655
deepseek_seed1	wrong	36	1	1	1.7834375000000002	-0.21656249999999977	2
deepseek_seed1	wrong	37	1	1	0.02375	-0.28500000000000003	0.30875000000000002
deepseek_seed1	wrong	38	1	1	2	0.51374999999999993	1.4862500000000001
deepseek_seed1	wrong	40	1	1	2	0	2
deepseek_seed1	wrong	44	1	1	0.14000000000000004	-0.53625	0.67625000000000002
deepseek_seed1	wrong	46	1	1	0.91874999999999973	-0.6262500000000002	1.5449999999999999
deepseek_seed1	wrong	48	1	1	0	0.074999999999999845	-0.074999999999999845
deepseek_seed1	wrong	50	1	1	0	0	0
deepseek_seed1	wrong	51	1	1	0.69500000000000006	-0.91374999999999973	1.6087499999999997
deepseek_seed1	wrong	53	1	1	2	0.375	1.625
